dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000595,0.059529,2.976454,148.822690,0.000000
0.020000,0.000000,0.000000,0.002976,0.178587,5.952908,148.822690,0.000000
0.020000,0.000000,0.000000,0.008334,0.357174,8.929361,148.822690,0.000000
0.020000,0.000000,0.000000,0.017859,0.595291,11.905815,148.822690,0.000000
0.020000,0.000000,0.000000,0.032741,0.892936,14.882269,148.822690,0.000000
0.020000,0.000000,0.000000,0.054171,1.250111,17.858723,148.822690,0.000000
0.020000,0.023341,0.000000,0.083341,1.666814,20.835177,148.822690,0.000000
0.020000,0.061439,0.000000,0.121439,2.143047,23.811630,148.822690,0.000000
0.020000,0.109658,0.000000,0.169658,2.678808,26.788084,148.822690,0.000000
0.020000,0.169187,0.000000,0.229187,3.274099,29.764538,148.822690,0.000000
0.020000,0.241217,0.000000,0.301217,3.928919,32.740992,148.822690,0.000000
0.020000,0.326939,0.000000,0.386939,4.643268,35.717446,148.822690,0.000000
0.020000,0.427543,0.000000,0.487543,5.417146,38.693899,148.822690,0.000000
0.020000,0.544220,0.000000,0.604220,6.250553,41.670353,148.822690,0.000000
0.020000,0.678161,0.000000,0.738161,7.143489,44.646807,148.822690,0.000000
0.020000,0.830555,0.000000,0.890555,8.095954,47.623261,148.822690,0.000000
0.020000,1.002594,0.000000,1.062594,9.107949,50.599715,148.822690,0.000000
0.020000,1.195468,0.000000,1.255468,10.179472,53.576168,148.822690,0.000000
0.020000,1.410368,0.000000,1.470368,11.310524,56.552622,148.822690,0.000000
0.020000,1.648484,0.000000,1.708484,12.501106,59.529076,148.822690,0.000000
0.020000,1.911008,0.000000,1.971008,13.751217,62.505530,148.822690,0.000000
0.020000,2.199128,0.000000,2.259128,15.060856,65.481984,148.822690,0.000000
0.020000,2.514037,0.000000,2.574037,16.430025,68.458437,148.822690,0.000000
0.020000,2.856925,0.000000,2.916925,17.858723,71.434891,148.822690,0.000000
0.020000,3.228981,0.000000,3.288981,19.346950,74.411345,148.822690,0.000000
0.020000,3.631398,0.000000,3.691398,20.894706,77.387799,148.822690,0.000000
0.020000,4.064770,0.000000,4.124770,22.442462,77.387799,-0.000000,0.000000
0.020000,4.529096,0.000000,4.589096,23.990218,77.387799,0.000000,0.000000
0.020000,5.024378,0.000000,5.084378,25.537974,77.387799,-0.000000,0.000000
0.020000,5.550615,0.000000,5.610615,27.085730,77.387799,0.000000,0.000000
0.020000,6.107808,0.000000,6.167808,28.633486,77.387799,0.000000,0.000000
0.020000,6.695955,0.000000,6.755955,30.181242,77.387799,-0.000000,0.000000
0.020000,7.315057,0.000000,7.375057,31.728998,77.387799,0.000000,0.000000
0.020000,7.964519,0.000000,8.024519,33.217224,74.411345,-148.822690,0.000000
0.020000,8.643151,0.000000,8.703151,34.645922,71.434891,-148.822690,0.000000
0.020000,9.349761,0.000000,9.409761,36.015091,68.458437,-148.822690,0.000000
0.020000,10.083159,0.000000,10.143159,37.324731,65.481984,-148.822690,0.000000
0.020000,10.842155,0.000000,10.902155,38.574841,62.505530,-148.822690,0.000000
0.020000,11.625558,0.000000,11.685558,39.765423,59.529076,-148.822690,0.000000
0.020000,12.432177,0.000000,12.492177,40.896475,56.552622,-148.822690,0.000000
0.020000,13.260821,0.000000,13.320821,41.967999,53.576168,-148.822690,0.000000
0.020000,14.110301,0.000000,14.170301,42.979993,50.599715,-148.822690,0.000000
0.020000,14.979426,0.000000,15.039426,43.932458,47.623261,-148.822690,0.000000
0.020000,15.867004,0.000000,15.927004,44.825394,44.646807,-148.822690,0.000000
0.020000,16.771846,0.000000,16.831846,45.658801,41.670353,-148.822690,0.000000
0.020000,17.692761,0.000000,17.752761,46.432679,38.693899,-148.822690,0.000000
0.020000,18.628558,0.000000,18.688558,47.147028,35.717446,-148.822690,0.000000
0.020000,19.578047,0.000000,19.638047,47.801848,32.740992,-148.822690,0.000000
0.020000,20.540037,0.000000,20.600037,48.397139,29.764538,-148.822690,0.000000
0.020000,21.513337,0.000000,21.573337,48.932901,26.788084,-148.822690,0.000000
0.020000,22.496757,0.000000,22.556757,49.409133,23.811630,-148.822690,0.000000
0.020000,23.489107,0.000000,23.549107,49.825837,20.835177,-148.822690,0.000000
0.020000,24.489196,0.000000,24.549196,50.183011,17.858723,-148.822690,0.000000
0.020000,25.495832,0.000000,25.555832,50.480656,14.882269,-148.822690,0.000000
0.020000,26.507827,0.000000,26.567827,50.718773,11.905815,-148.822690,0.000000
0.020000,27.523988,0.000000,27.583988,50.897360,8.929361,-148.822690,0.000000
0.020000,28.543126,0.000000,28.603126,51.016418,5.952908,-148.822690,0.000000
0.020000,29.564049,0.000000,29.624049,51.075947,2.976454,-148.822690,0.000000
0.020000,30.585446,0.000000,30.645446,51.063732,-0.610774,-179.361408,0.000000
0.020000,31.606003,0.000000,31.666003,50.991987,-3.587228,-148.822690,0.000000
0.020000,32.624530,0.000000,32.684530,50.860714,-6.563682,-148.822690,0.000000
0.020000,33.639837,0.000000,33.699837,50.669911,-9.540136,-148.822690,0.000000
0.020000,34.650732,0.000000,34.710732,50.419579,-12.516590,-148.822690,0.000000
0.020000,35.656025,0.000000,35.716025,50.109718,-15.493043,-148.822690,0.000000
0.020000,36.654525,0.000000,36.714525,49.740328,-18.469497,-148.822690,0.000000
0.020000,37.645042,0.000000,37.705042,49.311409,-21.445951,-148.822690,0.000000
0.020000,38.626386,0.000000,38.686386,48.822961,-24.422405,-148.822690,0.000000
0.020000,39.597366,0.000000,39.657366,48.274984,-27.398859,-148.822690,0.000000
0.020000,40.556790,0.000000,40.616790,47.667478,-30.375312,-148.822690,0.000000
0.020000,41.503469,0.000000,41.563469,47.000442,-33.351766,-148.822690,0.000000
0.020000,42.436213,0.000000,42.496213,46.273878,-36.328220,-148.822690,0.000000
0.020000,43.353829,0.000000,43.413829,45.487785,-39.304674,-148.822690,0.000000
0.020000,44.255129,0.000000,44.315129,44.642162,-42.281128,-148.822690,0.000000
0.020000,45.138920,0.000000,45.198920,43.737010,-45.257581,-148.822690,0.000000
0.020000,46.004014,0.000000,46.064014,42.772330,-48.234035,-148.822690,0.000000
0.020000,46.849218,0.000000,46.909218,41.748120,-51.210489,-148.822690,0.000000
0.020000,47.673343,0.000000,47.733343,40.664381,-54.186943,-148.822690,0.000000
0.020000,48.475198,0.000000,48.535198,39.521113,-57.163397,-148.822690,0.000000
0.020000,49.253592,0.000000,49.313592,38.318316,-60.139850,-148.822690,0.000000
0.020000,50.007336,0.000000,50.067336,37.055990,-63.116304,-148.822690,0.000000
0.020000,50.735237,0.000000,50.795237,35.734135,-66.092758,-148.822690,0.000000
0.020000,51.436106,0.000000,51.496106,34.352751,-69.069212,-148.822690,0.000000
0.020000,52.108752,0.000000,52.168752,32.911837,-72.045666,-148.822690,0.000000
0.020000,52.751984,0.000000,52.811984,31.411395,-75.022119,-148.822690,0.000000
0.020000,53.364734,0.000000,53.424734,29.863639,-77.387799,-118.283972,0.000000
0.020000,53.946529,0.000000,54.006529,28.315883,-77.387799,-0.000000,0.000000
0.020000,54.497369,0.000000,54.557369,26.768127,-77.387799,-0.000000,0.000000
0.020000,55.017254,0.000000,55.077254,25.220371,-77.387799,0.000000,0.000000
0.020000,55.506184,0.000000,55.566184,23.672615,-77.387799,0.000000,0.000000
0.020000,55.964159,0.000000,56.024159,22.124859,-77.387799,0.000000,0.000000
0.020000,56.391179,0.000000,56.451179,20.577103,-77.387799,-0.000000,0.000000
0.020000,56.787365,0.000000,56.847365,19.041563,-76.777025,30.538718,0.000000
0.020000,57.153436,0.000000,57.213436,17.565551,-73.800571,148.822690,0.000000
0.020000,57.490583,0.000000,57.550583,16.149069,-70.824117,148.822690,0.000000
0.020000,57.799995,0.000000,57.859995,14.792116,-67.847663,148.822690,0.000000
0.020000,58.082863,0.000000,58.142863,13.494691,-64.871209,148.822690,0.000000
0.020000,58.340377,0.000000,58.400377,12.256796,-61.894755,148.822690,0.000000
0.020000,58.573730,0.000000,58.633730,11.078430,-58.918302,148.822690,0.000000
0.020000,58.784110,0.000000,58.844110,9.959593,-55.941848,148.822690,0.000000
0.020000,58.972709,0.000000,59.032709,8.900285,-52.965394,148.822690,0.000000
0.020000,59.140717,0.000000,59.200717,7.900507,-49.988940,148.822690,0.000000
0.020000,59.289324,0.000000,59.349324,6.960257,-47.012486,148.822690,0.000000
0.020000,59.419722,0.000000,59.479722,6.079536,-44.036033,148.822690,0.000000
0.020000,59.533101,0.000000,59.593101,5.258345,-41.059579,148.822690,0.000000
0.020000,59.630651,0.000000,59.690651,4.496682,-38.083125,148.822690,0.000000
0.020000,59.713564,0.000000,59.773564,3.794549,-35.106671,148.822690,0.000000
0.020000,59.783029,0.000000,59.843029,3.151944,-32.130217,148.822690,0.000000
0.020000,59.840237,0.000000,59.900237,2.568869,-29.153764,148.822690,0.000000
0.020000,59.886379,0.000000,59.946379,2.045323,-26.177310,148.822690,0.000000
0.020000,59.922645,0.000000,59.982645,1.581306,-23.200856,148.822690,0.000000
0.020000,59.950226,0.000000,60.010226,1.176818,-20.224402,148.822690,0.000000
0.020000,59.970313,0.000000,60.030313,0.831859,-17.247948,148.822690,0.000000
0.020000,59.984096,0.000000,60.044096,0.546429,-14.271495,148.822690,0.000000
0.020000,59.992765,0.000000,60.052765,0.320528,-11.295041,148.822690,0.000000
0.020000,59.997512,0.000000,60.057512,0.154156,-8.318587,148.822690,0.000000
0.020000,59.999527,0.000000,60.059527,0.047314,-5.342133,148.822690,0.000000
0.020000,60.000000,0.000000,60.060000,0.000000,-2.365679,148.822690,0.000000
0.020000,60.000000,0.000000,60.060000,0.000000,0.000000,118.283972,0.000000
