dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-12.750000,0.000595,0.059529,2.976454,148.822690,0.000000
0.020000,0.000000,-12.750000,0.000595,0.000000,-2.976454,-297.645380,0.000000
0.020000,0.000000,-12.750000,0.000595,0.000000,0.000000,148.822690,0.000000
0.020000,0.000000,-12.750000,0.000595,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-12.750000,0.000595,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-12.750000,0.000595,0.000000,0.000000,0.000000,0.000000
0.020000,0.023341,-12.750000,0.023936,1.167035,58.351766,2917.588310,0.000000
0.020000,0.061439,-12.750000,0.062035,1.904930,36.894755,-1072.850535,0.000000
0.020000,0.109658,-12.750000,0.110253,2.410928,25.299857,-579.744908,0.000000
0.020000,0.169187,-12.750000,0.169782,2.976454,28.276311,148.822690,0.000000
0.020000,0.241217,-12.750000,0.241812,3.601509,31.252765,148.822690,0.000000
0.020000,0.326939,-12.750000,0.327534,4.286093,34.229219,148.822690,0.000000
0.020000,0.427543,-12.750000,0.428138,5.030207,37.205673,148.822690,0.000000
0.020000,0.544220,-12.750000,0.544815,5.833849,40.182126,148.822690,0.000000
0.020000,0.678161,-12.750000,0.678756,6.697021,43.158580,148.822690,0.000000
0.020000,0.830555,-12.750000,0.831150,7.619722,46.135034,148.822690,0.000000
0.020000,1.002594,-12.750000,1.003189,8.601951,49.111488,148.822690,0.000000
0.020000,1.195468,-12.750000,1.196064,9.643710,52.087942,148.822690,0.000000
0.020000,1.410368,-12.750000,1.410963,10.744998,55.064395,148.822690,0.000000
0.020000,1.648484,-12.750000,1.649080,11.905815,58.040849,148.822690,0.000000
0.020000,1.911008,-12.750000,1.911603,13.126161,61.017303,148.822690,0.000000
0.020000,2.199128,-12.750000,2.199724,14.406036,63.993757,148.822690,0.000000
0.020000,2.514037,-12.750000,2.514633,15.745441,66.970211,148.822690,0.000000
0.020000,2.856925,-12.750000,2.857520,17.144374,69.946664,148.822690,0.000000
0.020000,3.228981,-12.750000,3.229577,18.602836,72.923118,148.822690,0.000000
0.020000,3.631398,-12.750000,3.631993,20.120828,75.899572,148.822690,0.000000
0.020000,4.064770,-12.750000,4.065365,21.668584,77.387799,74.411345,0.000000
0.020000,4.529096,-12.750000,4.529692,23.216340,77.387799,-0.000000,0.000000
0.020000,5.024378,-12.750000,5.024974,24.764096,77.387799,0.000000,0.000000
0.020000,5.550615,-12.750000,5.551211,26.311852,77.387799,-0.000000,0.000000
0.020000,6.107808,-12.750000,6.108403,27.859608,77.387799,-0.000000,0.000000
0.020000,6.695955,-12.750000,6.696550,29.407364,77.387799,0.000000,0.000000
0.020000,7.315057,-12.750000,7.315653,30.955120,77.387799,-0.000000,0.000000
0.020000,7.964519,-12.750000,7.965115,32.473111,75.899572,-74.411345,0.000000
0.020000,8.643151,-12.750000,8.643746,33.931573,72.923118,-148.822690,0.000000
0.020000,9.349761,-12.750000,9.350356,35.330507,69.946664,-148.822690,0.000000
0.020000,10.083159,-12.750000,10.083755,36.669911,66.970211,-148.822690,0.000000
0.020000,10.842155,-12.750000,10.842750,37.949786,63.993757,-148.822690,0.000000
0.020000,11.625558,-12.750000,11.626153,39.170132,61.017303,-148.822690,0.000000
0.020000,12.432177,-12.750000,12.432772,40.330949,58.040849,-148.822690,0.000000
0.020000,13.260821,-12.750000,13.261417,41.432237,55.064395,-148.822690,0.000000
0.020000,14.110301,-12.750000,14.110897,42.473996,52.087942,-148.822690,0.000000
0.020000,14.979426,-12.750000,14.980021,43.456226,49.111488,-148.822690,0.000000
0.020000,15.867004,-12.750000,15.867600,44.378926,46.135034,-148.822690,0.000000
0.020000,16.771846,-12.750000,16.772442,45.242098,43.158580,-148.822690,0.000000
0.020000,17.692761,-12.750000,17.693356,46.045740,40.182126,-148.822690,0.000000
0.020000,18.628558,-12.750000,18.629153,46.789854,37.205673,-148.822690,0.000000
0.020000,19.578047,-12.750000,19.578642,47.474438,34.229219,-148.822690,0.000000
0.020000,20.540037,-12.750000,20.540632,48.099493,31.252765,-148.822690,0.000000
0.020000,21.513337,-12.750000,21.513932,48.665020,28.276311,-148.822690,0.000000
0.020000,22.496757,-12.750000,22.497353,49.171017,25.299857,-148.822690,0.000000
