dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-12.600000,0.000568,0.056829,2.841436,142.071800,0.000000
0.020000,0.000000,-12.600000,0.000568,0.000000,-2.841436,-284.143599,0.000000
0.020000,0.000000,-12.600000,0.000568,0.000000,0.000000,142.071800,0.000000
0.020000,0.000000,-12.600000,0.000568,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-12.600000,0.000568,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-12.600000,0.000568,0.000000,0.000000,0.000000,0.000000
0.020000,0.019560,-12.600000,0.020128,0.978010,48.900519,2445.025966,0.000000
0.020000,0.055931,-12.600000,0.056499,1.818519,42.025432,-343.754348,0.000000
0.020000,0.101962,-12.600000,0.102530,2.301563,24.152206,-893.661323,0.000000
0.020000,0.158791,-12.600000,0.159359,2.841436,26.993642,142.071800,0.000000
0.020000,0.227553,-12.600000,0.228122,3.438138,29.835078,142.071800,0.000000
0.020000,0.309387,-12.600000,0.309955,4.091668,32.676514,142.071800,0.000000
0.020000,0.405427,-12.600000,0.405996,4.802027,35.517950,142.071800,0.000000
0.020000,0.516812,-12.600000,0.517380,5.569215,38.359386,142.071800,0.000000
0.020000,0.644676,-12.600000,0.645244,6.393231,41.200822,142.071800,0.000000
0.020000,0.790158,-12.600000,0.790726,7.274076,44.042258,142.071800,0.000000
0.020000,0.954393,-12.600000,0.954961,8.211750,46.883694,142.071800,0.000000
0.020000,1.138518,-12.600000,1.139086,9.206253,49.725130,142.071800,0.000000
0.020000,1.343669,-12.600000,1.344238,10.257584,52.566566,142.071800,0.000000
0.020000,1.570984,-12.600000,1.571553,11.365744,55.408002,142.071800,0.000000
0.020000,1.821031,-12.600000,1.821599,12.502318,56.828720,71.035900,0.000000
0.020000,2.093808,-12.600000,2.094377,13.638893,56.828720,0.000000,0.000000
0.020000,2.389318,-12.600000,2.389886,14.775467,56.828720,-0.000000,0.000000
0.020000,2.707559,-12.600000,2.708127,15.912042,56.828720,0.000000,0.000000
0.020000,3.048531,-12.600000,3.049099,17.048616,56.828720,0.000000,0.000000
0.020000,3.412235,-12.600000,3.412803,18.185190,56.828720,-0.000000,0.000000
0.020000,3.798670,-12.600000,3.799238,19.321765,56.828720,0.000000,0.000000
0.020000,4.207837,-12.600000,4.208405,20.458339,56.828720,-0.000000,0.000000
