dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,90.000000,0.000571,0.057143,2.857143,142.857143,6.137674
0.020000,0.000000,90.000000,0.002857,0.171429,5.714286,142.857143,6.137685
0.020000,0.000000,90.000000,0.008000,0.342857,8.571429,142.857143,6.137709
0.020000,0.000000,90.000000,0.017143,0.571429,11.428571,142.857143,6.137753
0.020000,0.000000,90.000000,0.031429,0.857143,14.285714,142.857143,6.137820
0.020000,0.000000,90.000000,0.052000,1.200000,17.142857,142.857143,6.137917
0.020000,0.021552,89.996849,0.080000,1.600000,20.000000,142.857143,6.138049
0.020000,0.057740,89.991563,0.116571,2.057143,22.857143,142.857143,6.138220
0.020000,0.103541,89.984881,0.162857,2.571429,25.714286,142.857143,6.138436
0.020000,0.160087,89.976646,0.220000,3.142857,28.571429,142.857143,6.138700
0.020000,0.228511,89.966702,0.289143,3.771429,31.428571,142.857143,6.139017
0.020000,0.309945,89.954895,0.371429,4.457143,34.285714,142.857143,6.139391
0.020000,0.405523,89.941077,0.468000,5.200000,37.142857,142.857143,6.139824
0.020000,0.516378,89.925103,0.580000,6.000000,40.000000,142.857143,6.140319
0.020000,0.643079,89.906914,0.708000,6.800000,40.000000,-0.000000,6.140875
0.020000,0.785630,89.886534,0.852000,7.600000,40.000000,0.000000,6.141489
0.020000,0.944034,89.863991,1.012000,8.400000,40.000000,0.000000,6.142155
0.020000,1.118295,89.839315,1.188000,9.200000,40.000000,0.000000,6.142870
0.020000,1.308418,89.812535,1.380000,10.000000,40.000000,-0.000000,6.143628
0.020000,1.514408,89.783683,1.588000,10.800000,40.000000,0.000000,6.144423
0.020000,1.736268,89.752793,1.812000,11.600000,40.000000,0.000000,6.145250
0.020000,1.974002,89.719895,2.052000,12.400000,40.000000,0.000000,6.146101
0.020000,2.227616,89.685022,2.308000,13.200000,40.000000,0.000000,6.146970
0.020000,2.497113,89.648206,2.580000,14.000000,40.000000,0.000000,6.147850
0.020000,2.782496,89.609475,2.868000,14.800000,40.000000,-0.000000,6.148732
0.020000,3.083771,89.568857,3.172000,15.600000,40.000000,0.000000,6.149607
0.020000,3.400939,89.526378,3.492000,16.400000,40.000000,0.000000,6.150468
0.020000,3.734003,89.482057,3.828000,17.200000,40.000000,-0.000000,6.151305
0.020000,4.082965,89.435912,4.180000,18.000000,40.000000,0.000000,6.152108
0.020000,4.447827,89.387954,4.548000,18.800000,40.000000,0.000000,6.152868
0.020000,4.828589,89.338191,4.932000,19.600000,40.000000,0.000000,6.153572
0.020000,5.225250,89.286621,5.332000,20.400000,40.000000,-0.000000,6.154212
0.020000,5.637811,89.233236,5.748000,21.200000,40.000000,0.000000,6.154775
0.020000,6.066268,89.178021,6.180000,22.000000,40.000000,-0.000000,6.155248
0.020000,6.510618,89.120948,6.628000,22.800000,40.000000,0.000000,6.155621
0.020000,6.970856,89.061983,7.092000,23.600000,40.000000,-0.000000,6.155880
0.020000,7.446976,89.001078,7.572000,24.400000,40.000000,0.000000,6.156011
0.020000,7.938971,88.938173,8.068000,25.200000,40.000000,0.000000,6.156001
0.020000,8.446831,88.873195,8.580000,26.000000,40.000000,0.000000,6.155836
0.020000,8.970545,88.806056,9.108000,26.800000,40.000000,0.000000,6.155500
0.020000,9.510100,88.736651,9.652000,27.600000,40.000000,0.000000,6.154979
0.020000,10.065479,88.664860,10.212000,28.400000,40.000000,-0.000000,6.154257
0.020000,10.636665,88.590544,10.788000,29.200000,40.000000,0.000000,6.153316
0.020000,11.223635,88.513542,11.380000,30.000000,40.000000,-0.000000,6.152140
0.020000,11.826367,88.433675,11.988000,30.800000,40.000000,0.000000,6.150710
0.020000,12.444830,88.350738,12.612000,31.600000,40.000000,0.000000,6.149010
0.020000,13.078994,88.264505,13.252000,32.400000,40.000000,-0.000000,6.147018
0.020000,13.728821,88.174722,13.908000,33.200000,40.000000,0.000000,6.144716
0.020000,14.394268,88.081107,14.580000,34.000000,40.000000,0.000000,6.142083
0.020000,15.075288,87.983349,15.268000,34.800000,40.000000,-0.000000,6.139096
0.020000,15.771259,87.881193,15.971429,35.542857,37.142857,-142.857143,6.135738
0.020000,16.480988,87.774440,16.689143,36.228571,34.285714,-142.857143,6.131990
0.020000,17.203281,87.662879,17.420000,36.857143,31.428571,-142.857143,6.127839
0.020000,17.936931,87.546288,18.162857,37.428571,28.571429,-142.857143,6.123270
0.020000,18.680729,87.424435,18.916571,37.942857,25.714286,-142.857143,6.118272
0.020000,19.433460,87.297082,19.680000,38.400000,22.857143,-142.857143,6.112833
0.020000,20.193899,87.163991,20.452000,38.800000,20.000000,-142.857143,6.106945
0.020000,20.960821,87.024927,21.231429,39.142857,17.142857,-142.857143,6.100601
0.020000,21.732988,86.879662,22.017143,39.428571,14.285714,-142.857143,6.093795
0.020000,22.509162,86.727981,22.808000,39.657143,11.428571,-142.857143,6.086525
0.020000,23.288095,86.569684,23.602857,39.828571,8.571429,-142.857143,6.078789
0.020000,24.068537,86.404596,24.400571,39.942857,5.714286,-142.857143,6.070591
0.020000,24.849234,86.232567,25.200000,40.000000,2.857143,-142.857143,6.061933
0.020000,25.628929,86.053482,26.000000,40.000000,0.000000,-142.857143,6.052823
0.020000,26.406918,85.867127,26.800000,40.000000,0.000000,0.000000,6.043264
0.020000,27.183046,85.673169,27.600000,40.000000,0.000000,0.000000,6.033254
0.020000,27.957148,85.471276,28.400000,40.000000,0.000000,0.000000,6.022790
0.020000,28.729047,85.261120,29.200000,40.000000,0.000000,0.000000,6.011872
0.020000,29.498555,85.042372,30.000000,40.000000,0.000000,0.000000,6.000498
0.020000,30.265473,84.814713,30.800000,40.000000,0.000000,0.000000,5.988668
0.020000,31.029590,84.577824,31.600000,40.000000,0.000000,0.000000,5.976385
0.020000,31.790685,84.331395,32.400000,40.000000,0.000000,0.000000,5.963651
0.020000,32.548521,84.075125,33.200000,40.000000,0.000000,0.000000,5.950468
0.020000,33.302854,83.808720,34.000000,40.000000,0.000000,0.000000,5.936843
0.020000,34.053426,83.531898,34.800000,40.000000,0.000000,0.000000,5.922781
0.020000,34.799970,83.244388,35.600000,40.000000,0.000000,0.000000,5.908291
0.020000,35.542205,82.945936,36.400000,40.000000,0.000000,0.000000,5.893381
0.020000,36.279845,82.636299,37.200000,40.000000,0.000000,0.000000,5.878064
0.020000,37.012592,82.315256,38.000000,40.000000,0.000000,0.000000,5.862352
0.020000,37.740140,81.982601,38.800000,40.000000,0.000000,0.000000,5.846261
0.020000,38.462178,81.638150,39.600000,40.000000,0.000000,0.000000,5.829807
0.020000,39.178389,81.281743,40.400000,40.000000,0.000000,0.000000,5.813010
0.020000,39.888452,80.913240,41.200000,40.000000,0.000000,0.000000,5.795890
0.020000,40.592045,80.532529,42.000000,40.000000,0.000000,0.000000,5.778469
0.020000,41.288843,80.139521,42.800000,40.000000,0.000000,0.000000,5.760772
0.020000,41.978526,79.734157,43.600000,40.000000,0.000000,0.000000,5.742825
0.020000,42.660775,79.316402,44.400000,40.000000,0.000000,0.000000,5.724654
0.020000,43.335278,78.886254,45.200000,40.000000,0.000000,0.000000,5.706289
0.020000,44.001729,78.443736,46.000000,40.000000,0.000000,0.000000,5.687759
0.020000,44.659836,77.988898,46.800000,40.000000,0.000000,0.000000,5.669095
0.020000,45.309313,77.521822,47.600000,40.000000,0.000000,0.000000,5.650327
0.020000,45.949892,77.042616,48.400000,40.000000,0.000000,0.000000,5.631488
0.020000,46.581319,76.551413,49.200000,40.000000,0.000000,0.000000,5.612608
0.020000,47.203358,76.048371,50.000000,40.000000,0.000000,0.000000,5.593720
0.020000,47.815786,75.533679,50.800000,40.000000,0.000000,0.000000,5.574853
