dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001757,77.400000,0.000580,0.058050,2.902500,145.125000,6.283046
0.020000,-0.001684,77.400000,0.000654,0.003660,-2.719476,-281.098788,6.283052
0.020000,-0.001519,77.400000,0.000818,0.008226,0.228289,147.388229,6.283065
0.020000,-0.001227,77.400000,0.001110,0.014591,0.318230,4.497057,6.283088
0.020000,-0.000773,77.400000,0.001564,0.022712,0.406063,4.391636,6.283124
0.020000,-0.000123,77.400000,0.002215,0.032521,0.490444,4.219044,6.283176
0.020000,0.025240,77.400001,0.027577,1.268129,61.780387,3064.497156,0.000060
0.020000,0.063527,77.400005,0.065865,1.914363,32.311700,-1473.434345,0.000150
0.020000,0.111964,77.400015,0.114302,2.421859,25.374792,-346.845413,0.000262
0.020000,0.171733,77.400035,0.174070,2.988427,28.328436,147.682202,0.000399
0.020000,0.244008,77.400069,0.246345,3.613740,31.265617,146.859057,0.000560
0.020000,0.329956,77.400125,0.332294,4.297442,34.185136,145.975988,0.000747
0.020000,0.430738,77.400212,0.433076,5.039091,37.082435,144.864932,0.000960
0.020000,0.547501,77.400338,0.549839,5.838150,39.952935,143.524990,0.001197
0.020000,0.681381,77.400515,0.683719,6.694017,42.793374,142.021978,0.001456
0.020000,0.833501,77.400758,0.835839,7.605992,45.598736,140.268064,0.001735
0.020000,1.004966,77.401081,1.007304,8.573277,48.364236,138.275034,0.002029
0.020000,1.196865,77.401500,1.199204,9.594964,51.084364,136.006400,0.002332
0.020000,1.410266,77.402031,1.412605,10.670058,53.754709,133.517232,0.002636
0.020000,1.646213,77.402689,1.648553,11.797405,56.367347,130.631899,0.002934
0.020000,1.905139,77.403485,1.907481,12.946385,57.449006,54.082925,0.003212
0.020000,2.186870,77.404426,2.189213,14.086610,57.011229,-21.888844,0.003458
0.020000,2.491214,77.405510,2.493559,15.217309,56.534974,-23.812746,0.003655
0.020000,2.817965,77.406729,2.820312,16.337672,56.018133,-25.842027,0.003788
0.020000,3.166901,77.408062,3.169251,17.446922,55.462500,-27.781643,0.003838
0.020000,3.537783,77.409479,3.540136,18.544238,54.865804,-29.834822,0.003788
0.020000,3.930356,77.410937,3.932712,19.628799,54.228034,-31.888474,0.003616
0.020000,4.344349,77.412374,4.346707,20.699761,53.548133,-33.995064,0.003302
0.020000,4.779472,77.413711,4.781832,21.756258,52.824822,-36.165559,0.002821
0.020000,5.235418,77.414851,5.237780,22.797381,52.056174,-38.432414,0.002150
0.020000,5.711862,77.415672,5.714223,23.822189,51.240389,-40.789232,0.001263
0.020000,6.208455,77.416027,6.210817,24.829702,50.375666,-43.236178,0.000133
0.020000,6.724833,77.415743,6.727195,25.818868,49.458266,-45.869954,6.281914
0.020000,7.260603,77.414617,7.262966,26.788548,48.484015,-48.712592,6.280207
0.020000,7.815349,77.412411,7.817717,27.737565,47.450861,-51.657669,6.278164
0.020000,8.388631,77.408855,8.391010,28.664627,46.353105,-54.887799,6.275749
0.020000,8.979975,77.403639,8.982376,29.568339,45.185608,-58.374862,6.272926
0.020000,9.588875,77.396415,9.591319,30.447150,43.940528,-62.253994,6.269655
0.020000,10.214791,77.386790,10.217309,31.299493,42.617146,-66.169128,6.265893
0.020000,10.857139,77.374325,10.859779,32.123473,41.199026,-70.905975,6.261597
0.020000,11.515292,77.358535,11.518121,32.917126,39.682648,-75.818910,6.256718
0.020000,12.188574,77.338884,12.191690,33.678416,38.064473,-80.908763,6.251205
0.020000,12.876247,77.314783,12.879785,34.404776,36.318008,-87.323247,6.245001
0.020000,13.577516,77.285589,13.581661,35.093817,34.452063,-93.297255,6.238049
0.020000,14.291514,77.250603,14.296516,35.742732,32.445715,-100.317383,6.230283
0.020000,15.017294,77.209072,15.023483,36.348350,30.280932,-108.239131,6.221636
0.020000,15.753825,77.160184,15.761634,36.907569,27.960925,-116.000370,6.212034
0.020000,16.499981,77.103073,16.509973,37.416940,25.468554,-124.618551,6.201398
0.020000,17.254534,77.036821,17.267430,37.872824,22.794234,-133.716007,6.189642
0.020000,18.016144,76.960458,18.032858,38.271421,19.929848,-143.219294,6.176677
0.020000,18.782888,76.873028,18.804571,38.585633,15.710555,-210.964644,6.162414
0.020000,19.552308,76.773626,19.580385,38.790692,10.252967,-272.879380,6.146771
0.020000,20.321895,76.661371,20.358116,38.886562,4.793523,-272.972229,6.129668
0.020000,21.089115,76.535428,21.135605,38.874428,-0.606694,-270.010831,6.111026
0.020000,21.851431,76.395021,21.910743,38.756910,-5.875899,-263.460241,6.090769
0.020000,22.606325,76.239456,22.681499,38.537809,-10.955050,-253.957553,6.068829
0.020000,23.351346,76.068129,23.445966,38.223340,-15.723477,-238.421343,6.045145
0.020000,24.084155,75.880543,24.202403,37.821867,-20.073649,-217.508641,6.019673
0.020000,24.802582,75.676308,24.949296,37.344647,-23.860974,-189.366225,5.992384
0.020000,25.504688,75.455138,25.685414,36.805904,-26.937191,-153.810864,5.963272
0.020000,26.188836,75.216836,26.409876,36.223117,-29.139347,-110.107804,5.932361
0.020000,26.853746,74.961261,27.122214,35.616876,-30.312058,-58.635514,5.899703
0.020000,27.498556,74.688293,27.822422,35.010394,-30.324088,-0.601521,5.865393
0.020000,28.122849,74.397783,28.510998,34.428815,-29.078937,62.257557,5.829561
0.020000,28.726661,74.089496,29.188958,33.897984,-26.541544,126.869625,5.792379
0.020000,29.310453,73.763068,29.857814,33.442836,-22.757421,189.206187,5.754060
0.020000,29.875050,73.417970,30.519526,33.085588,-17.862398,244.751150,5.714852
0.020000,30.421540,73.053498,31.176406,32.843995,-12.079631,289.138342,5.675031
0.020000,30.951165,72.668794,31.831005,32.729945,-5.702516,318.855726,5.634890
0.020000,31.465181,72.262904,32.485955,32.747501,0.877806,329.016114,5.594731
0.020000,31.965004,71.834627,33.144167,32.910615,8.155689,363.894139,5.554830
0.020000,32.452070,71.382564,33.808693,33.226304,15.784447,381.437903,5.515431
0.020000,32.927515,70.905391,34.482297,33.680154,22.692533,345.404302,5.476752
0.020000,33.392167,70.401937,35.167401,34.255217,28.753146,303.030654,5.438986
0.020000,33.846541,69.871260,35.866023,34.931129,33.795590,252.122220,5.402293
0.020000,34.290873,69.312699,36.579761,35.686889,37.788016,199.621264,5.366799
0.020000,34.725173,68.725885,37.309807,36.502312,40.771137,149.156091,5.332599
0.020000,35.149276,68.110753,38.056969,37.358072,42.788001,100.843190,5.299757
0.020000,35.562887,67.467540,38.821689,38.236017,43.897259,55.462902,5.268309
0.020000,35.965659,66.796719,39.604138,39.122416,44.319938,21.133950,5.238267
0.020000,36.357200,66.099013,40.404200,40.003101,44.034221,-14.285874,5.209624
0.020000,36.737147,65.375291,41.221593,40.869680,43.328953,-35.263377,5.182356
